rating_id,User_ID,Food_ID,Rating
1,1,88,4
2,1,46,3
3,1,24,5
4,1,25,4
5,2,49,1
6,2,33,8
7,2,106,9
8,2,71,8
9,3,73,9
10,3,110,10
11,3,168,1
12,3,201,8
13,3,209,6
14,3,46,2
15,3,65,3
16,3,292,8
17,3,299,1
18,4,14,5
19,4,141,5
20,4,170,1
21,4,212,10
22,4,128,6
23,4,21,1
24,5,52,9
25,5,64,2
26,5,198,10
27,5,241,9
28,5,8,6
29,5,27,6
30,6,22,5
31,6,185,7
32,6,207,2
33,6,213,6
34,7,131,5
35,7,109,10
36,7,116,8
37,7,220,3
38,7,21,9
39,7,31,10
40,8,101,8
41,8,138,9
42,8,140,4
43,8,201,3
44,8,242,3
45,8,224,9
46,8,128,4
47,8,163,5
48,9,15,1
49,9,60,5
50,9,91,5
51,9,2,3
52,9,180,2
53,9,182,4
54,9,184,6
55,9,244,3
56,10,70,5
57,10,44,10
58,10,227,2
59,10,100,4
60,10,250,2
61,11,35,4
62,11,154,3
63,11,258,10
64,11,200,10
65,11,274,2
66,11,48,5
67,12,38,4
68,12,169,4
69,13,74,8
70,13,127,10
71,14,17,3
72,14,51,9
73,14,87,8
74,14,134,7
75,14,267,5
76,14,272,1
77,15,29,7
78,15,116,6
79,15,130,5
80,15,149,1
81,15,43,3
82,15,214,7
83,15,238,6
84,15,29,9
85,16,243,3
86,16,10,4
87,16,270,3
88,16,282,10
89,16,291,1
90,17,23,4
91,17,58,7
92,17,114,1
93,17,8,5
94,17,251,5
95,17,278,8
96,17,7,4
97,18,18,5
98,18,133,8
99,18,153,7
100,18,37,2
101,18,31,7
102,18,17,6
103,19,9,9
104,19,11,4
105,19,211,1
106,19,249,10
107,19,84,10
108,20,46,6
109,20,261,8
110,21,13,9
111,21,42,9
112,21,126,1
113,21,230,3
114,21,185,2
115,21,280,5
116,22,165,2
117,22,2,5
118,22,127,6
119,22,53,3
120,22,275,4
121,23,26,6
122,23,223,5
123,24,23,2
124,24,193,8
125,24,51,5
126,25,55,5
127,25,63,9
128,25,57,10
129,25,178,3
130,25,287,3
131,26,15,9
132,26,104,6
133,26,55,5
134,26,45,5
135,27,161,2
136,27,213,3
137,27,273,10
138,27,207,4
139,27,86,4
140,27,54,1
141,27,279,9
142,28,54,7
143,28,162,9
144,28,50,10
145,28,5,10
146,29,34,5
147,29,200,9
148,29,281,1
149,29,300,9
150,30,53,6
151,30,304,1
152,31,80,1
153,31,129,5
154,31,150,9
155,31,188,10
156,31,74,5
157,31,232,8
158,31,240,3
159,31,230,8
160,31,264,6
161,31,285,9
162,32,32,4
163,32,39,7
164,32,71,1
165,32,94,10
166,32,127,9
167,32,91,2
168,32,244,8
169,32,263,1
170,32,143,1
171,32,290,7
172,32,309,5
173,33,166,4
